  n         compares      swaps
1000        499500        250606
2000        1999000        989898
3000        4498500        2213722
4000        7998000        3942067
5000        12497500        6224383
6000        17997000        9008241
7000        24496500        12309327
8000        31996000        16081852
9000        40495500        20434661
10000        49995000        25157048
