  n         compares      swaps
10000        207933        38223
20000        452245        81167
30000        725722        126220
40000        999334        173221
50000        1275449        219181
60000        1536853        268136
70000        1881111        316455
80000        2195332        364473
90000        2365231        421128
100000        2725808        469191
