  n         compares      swaps
1000        251601        250606
2000        991892        989898
3000        2216715        2213722
4000        3946060        3942067
5000        6229376        6224383
6000        9014234        9008241
7000        12316320        12309327
8000        16089845        16081852
9000        20443654        20434661
10000        25167041        25157048
